Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Gulnara Garifullina,F,B,Raw,39.0,35-39,24-39,Open,50.6,52,,,,,,57.5,-60.0,-60.0,,57.5,,,,,,57.5,1,71.44,73.2,64.96,56.44,Yes,Russia,,WPA-RUS,WPA,20/12/2014,Russia,MOW,Moscow,Russian Cup
Bryan Sledge,M,SBD,Raw,18.5,18-19,19-23,MR-T3,81.1,83,110.0,125.0,132.5,,132.5,-100.0,100.0,,,100.0,175.0,195.0,205.0,,205.0,437.5,1,299.28,296.15,285.17,61.28,Yes,USA,AK,USAPL,IPF,24/2/2018,USA,NE,,Capital City Clash
Cecily Gonzalez,F,SBD,Single-ply,,,,Girls,57.61,60.1,,,,,145.15,,,,,70.31,,,,,138.35,353.8,1,402.54,407.14,359.94,67.37,Yes,,,THSWPA,,10/1/2015,USA,TX,Zapata,Zapata Hawks Powerlifting Meet
Mike Jones #22,M,B,Raw,,50-54,50-59,Masters 50-54,142.88,140+,,,,,,,,,,233.6,,,,,,233.6,1,127.29,130.15,123.51,91.85,,,,SPF,,21/11/2020,USA,GA,Loganville,Iron Turkey Bash
Sirkka Ek,F,SBD,Single-ply,,,24-39,Open,56.0,56,,,,,117.5,,,,,62.5,,,,,135.0,315.0,1,365.12,370.63,327.84,61.06,Yes,Finland,,SVNL,IPF,8/3/1987,Finland,,Salo,Naisten voimanoston SM -kisat
Aleksandra Korobova,F,SBD,Wraps,27.0,24-34,24-39,Open,59.4,60,-110.0,-115.0,115.0,,115.0,45.0,50.0,57.5,,57.5,115.0,122.5,130.0,,130.0,302.5,1,337.48,339.89,300.35,68.86,Yes,,,WPC-RUS,WPC,22/12/2018,Russia,NVS,Novosibirsk,Legion Tournament
Danil Baychurin,M,B,Raw,26.0,24-34,24-39,Open,92.5,100,,,,,,140.0,145.0,-150.0,,145.0,,,,,,145.0,1,92.5,91.32,87.42,68.98,,,,RPU,,16/9/2017,Russia,,Kaneaevskaya,Bogatyrskaya League and Kanesvsky Powerlifting Championships
Rochelle de Beer,F,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,55.95,57,70.0,77.5,82.5,,82.5,37.5,42.5,47.5,,47.5,100.0,107.5,112.5,,112.5,242.5,1,281.25,285.53,252.56,57.69,Yes,South Africa,,SAPF,IPF,14/3/2017,South Africa,,Potchefstroom,South African Classic Powerlifting Championships
Jim Galto,M,B,Raw,41.0,40-44,40-49,M_MR_1_APF,106.3,110,,,,,,152.5,-165.0,-165.0,,152.5,,,,,,152.5,1,91.52,90.74,86.66,67.9,,USA,,APF,WPC,8/2/2015,USA,IL,Lombard,Pressing the Pieces Together
Angelina Hong,F,SBD,Raw,21.0,20-23,19-23,FR-C,46.4,47,77.5,85.0,90.0,,90.0,80.0,85.0,-95.0,,85.0,107.5,117.5,125.0,,125.0,300.0,2,396.94,407.2,363.37,84.24,Yes,USA,TX,USAPL,IPF,7/4/2017,USA,TX,,Collegiate National Championship
Garrison Gless,M,SBD,Raw,24.5,24-34,24-39,MR-O,92.8,93,183.7,192.8,197.3,,197.3,124.7,131.5,-133.8,,131.5,197.3,213.2,-226.8,,213.2,542.0,9,345.21,340.83,326.23,70.98,Yes,USA,,USAPL,IPF,31/10/2015,USA,WI,,Western Wisconsin Open
Ross Brimstead,M,BD,Raw,,,,M-C-Open,103.2,105,,,,,,160.0,170.0,-180.0,,170.0,270.0,300.0,-310.0,,300.0,470.0,1,285.46,282.6,269.84,,Yes,England,SE,EPA,IPF,22/7/2018,England,,,South East Push Pull
Marat Dzhaylaubaev,M,B,Raw,61.0,60-64,60-69,Masters 60-69,101.0,110,,,,,,135.0,140.0,142.5,,142.5,,,,,,142.5,1,87.34,86.38,82.5,64.98,,Kazakhstan,,WRPF-KAZ,WRPF,29/9/2017,Kazakhstan,,Almaty,Kazakhstan Championships
Lexi Alaniz,F,SBD,Single-ply,,,,Girls,52.53,56,,,,,90.72,,,,,38.56,,,,,95.25,224.53,13,271.76,277.72,246.08,45.41,Yes,,,THSWPA,,17/1/2015,USA,TX,San Diego,Brush Country Classic
Mick Hunnam,M,SBD,Single-ply,,,,M-E-Open,77.6,82.5,,,,,245.0,,,,,160.0,,,,,240.0,645.0,1,452.97,449.09,433.29,77.56,Yes,England,,BAWLA,IPF,4/12/1983,England,,Stanley,North East Powerlifting Championships
Francesco Virzi,M,SBD,Raw,24.0,24-34,24-39,Aktive,98.0,100,250.0,265.0,275.0,,275.0,180.0,190.0,200.0,,200.0,245.0,260.0,275.0,,275.0,750.0,1,465.75,460.24,439.76,95.66,,Germany,,Germany-UA,,1/12/2007,Germany,,Groß-Zimmern,Bembel Man
Afonso Brown,M,SBD,Raw,15.5,16-17,14-18,MR-T1,81.99,83,190.0,200.0,-205.0,,200.0,-122.5,-122.5,122.5,,122.5,210.0,217.5,227.5,,227.5,550.0,1,373.88,369.83,355.95,76.61,Yes,USA,MI,USAPL,IPF,30/10/2016,USA,PA,Pittsburgh,Pittsburgh Raw Open
Lorenzo Baraldo,M,B,Single-ply,18.5,18-19,19-23,Junior,90.85,93,,,,,,170.0,180.0,-190.0,,180.0,,,,,,180.0,1,115.84,114.37,109.57,60.37,Yes,,,FIPL,IPF,8/11/2019,Italy,,San Zenone al Lambro,20° Campionato Italiano Assoluto di Panca e 5° Campionato Italiano Classic di Panca
Tormod Andersen,M,SBD,Single-ply,41.5,40-44,40-49,Masters 40-49,80.7,82.5,260.0,283.5,,,283.5,130.0,140.0,145.0,,145.0,250.0,-283.0,-283.0,,250.0,678.5,1,465.47,460.69,443.72,79.66,Yes,Norway,,NSF,IPF,18/6/1998,Norway,,Halden,Seriestevne
Mariya Chuprina,F,D,Raw,24.0,24-34,24-39,Open,70.9,75,,,,,,,,,,,120.0,130.0,-140.0,,130.0,130.0,1,130.53,128.2,112.98,,,,,WRPF,WRPF,21/10/2017,Russia,MOW,Moscow,World Class Cup
Egor Baydurov,M,B,Unlimited,35.0,35-39,24-39,Open,74.1,75,,,,,,-190.0,-190.0,190.0,,190.0,,,,,,190.0,1,137.37,136.54,132.0,73.9,,,,RPU,,27/11/2021,Russia,NIZ,Chkalovsk,Caspian Monster III
Luisa Muniz,F,SBD,Single-ply,,18-19,,Girls,75.07,75,,,,,142.88,,,,,56.7,,,,,,,DQ,,,,,Yes,,,THSWPA,,6/3/2015,USA,TX,Mertzon,Region 1 Division 3 Championships
